ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
ai đâu ngờ	bảo vy	ai-dau-ngo-bao-vy
ngày đó xa rồi	đức kim	ngay-do-xa-roi-duc-kim
ngày hôm qua đã từng	mờ naive	ngay-hom-qua-da-tung-mo-naive
hạnh phúc trong tình yêu	hồ quang lộc	hanh-phuc-trong-tinh-yeu-ho-quang-loc
mong ông noel về	bé khánh minh	mong-ong-noel-ve-be-khanh-minh
em không hề yêu anh	lâm vũ	em-khong-he-yeu-anh-lam-vu
giận nhau một tuần	automatic khắc trí	gian-nhau-mot-tuan-automatic-khac-tri
hoa vỹ cầm	hoàng duy khánh	hoa-vy-cam-hoang-duy-khanh
lk yêu một mình giọt lệ đài trang	văn hương đan phương	lk-yeu-mot-minh-giot-le-dai-trang-dan-phuong-van-huong
gợi buồn	chế phong	goi-buon-che-phong
đêm hồng	khánh ly	dem-hong-khanh-ly
thầm lặng	bảo hân	tham-lang-bao-han
khúc ca tình bạn	lệ thủy ngọc thảo	khuc-ca-tinh-ban-le-thuy-ngoc-thao
tiễn em theo chồng	hoàng minh thắng	tien-em-theo-chong-hoang-minh-thang
bến tuơng tư	phi nhung	ben-tuong-tu-phi-nhung
nghĩa nhân huynh đệ	đào nguyễn ánh	nghia-nhan-huynh-de-dao-nguyen-anh
chỉ còn lại nước mắt	huy pt	chi-con-lai-nuoc-mat-phuong-the-huy
độc huyền cầm	5 dòng kẻ	doc-huyen-cam-5-dong-ke
thà đừng yêu nhau	dương huệ	tha-dung-yeu-nhau-duong-hue
lk gọi đò	cao cường	lk-goi-do-cao-cuong
cho nhau bình yên	mya huỳnh	cho-nhau-binh-yen-mya-huynh
tình khúc xuân	duy thanh	tinh-khuc-xuan-duy-thanh-hoi-am-nhac
bé yêu	anh trường	be-yeu-anh-truong
vũ điệu cuồng say (on the floor)	tống hạo nhiên	vu-dieu-cuong-say-on-the-floor-tong-hao-nhien
bắt đầu hay kết thúc	hiếu bon	bat-dau-hay-ket-thuc-hieu-bon
ngày tinh khôi	nam khánh	ngay-tinh-khoi-nam-khanh
bài tình ca cho kỹ niệm	loan châu	bai-tinh-ca-cho-ky-niem-loan-chau
và đôi lúc trong đời em	lâm thúy vân	va-doi-luc-trong-doi-em-lam-thuy-van
mặt trái mặt phải	giang hải long	mat-trai-mat-phai-giang-hai-long
sao hận còn nặng	k.na kindy a ry2c	sao-han-con-nang-k-na-ry2c-kindy-a
bạn hay là yêu	vicky nhung	ban-hay-la-yeu-vicky-nhung
sóng và cát	hoàng nghiệp hồ hoàng yến	song-va-cat-hoang-nghiep-ho-hoang-yen
ngày anh đi	minh hằng	ngay-anh-di-minh-hang
ô kìa xuân	pha lê	o-kia-xuan-pha-le
trả lại thời gian	châu giang	tra-lai-thoi-gian-chau-giang
anh không là giấc mơ	như ý	anh-khong-la-giac-mo-nhu-y
đúng lúc gặp gỡ người	lee phú quý	dung-luc-gap-go-nguoi-lee-phu-quy
lâu rồi không nói yêu nhau	nam cường	lau-roi-khong-noi-yeu-nhau-nam-cuong
cảm giác cô đơn	kim thư	cam-giac-co-don-kim-thu-an-kim-thu
lòng mẹ (tân cổ)	mai chi	long-me-tan-co-mai-chi
bẫy tình	lâm chấn huy	bay-tinh-lam-chan-huy
em biết không	khang ty	em-biet-khong-khang-ty
nhạc khúc buồn gửi lại	gia lạc	nhac-khuc-buon-gui-lai-gia-lac
cắt tóc	y jalin	cat-toc-y-jalin
tôi không cô đơn	cẩm như tuấn quang đăng nguyên	toi-khong-co-don-dang-nguyen-cam-nhu-tuan-quang
trả lại cho em một ước mơ	it's lee linh lam	tra-lai-cho-em-mot-uoc-mo-linh-lam-it-s-lee
vẫn mãi trong anh	hoàng khánh dũng	van-mai-trong-anh-hoang-khanh-dung
đừng nói lời chia tay khi em vẫn còn yêu	châu gia kiệt	dung-noi-loi-chia-tay-khi-em-van-con-yeu-chau-gia-kiet
anh vẫn luôn là anh	chu bin	anh-van-luon-la-anh-chu-bin
hoa mười giờ	kim thư tường khuê	hoa-muoi-gio-kim-thu-tuong-khue
anh có em trong đời	vương bảo khang	anh-co-em-trong-doi-vuong-bao-khang
em so đẹp (original mix)	addy trần antoneus maximus	em-so-dep-original-mix-antoneus-maximus-addy-tran
món quà từng ngày	lm.jb.nguyễn sang	mon-qua-tung-ngay-lm-jb-nguyen-sang
nhẹ	trương việt thái	nhe-truong-viet-thai
khi anh có em	jarry kangtaka uriboo	khi-anh-co-em-kangtaka-jarry-uriboo
tình yêu tuyệt vời (perfect love)	nicky st.319 s.t sơn thạch	tinh-yeu-tuyet-voi-perfect-love-s-t-son-thach-nicky-st-319
người tình không đến	ánh linh	nguoi-tinh-khong-den-anh-linh
em đã yêu	ly ly trần	em-da-yeu-ly-ly-tran
nắm giữ hạnh phúc	lý hào nam	nam-giu-hanh-phuc-ly-hao-nam
lk đoạn cuối tình yêu	lê sang randy	lk-doan-cuoi-tinh-yeu-le-sang-randy
gửi về quan họ	minh đức	gui-ve-quan-ho-minh-duc
đồng hồ báo thức	khương ngọc	dong-ho-bao-thuc-khuong-ngoc
con heo đất	bé bảo an	con-heo-dat-be-bao-an
dặn lòng phải cố quên	đoàn bá chí	dan-long-phai-co-quen-doan-ba-chi
trái tim lạnh cảm	nhật kim anh	trai-tim-lanh-cam-nhat-kim-anh
em không nghĩ rằng mình chia tay	hoàng nghi lâm	em-khong-nghi-rang-minh-chia-tay-hoang-nghi-lam
gió xuân	bé bạch lê quỳnh anh	gio-xuan-be-bach-le-quynh-anh
gửi con tương lai	minh vương m4u	gui-con-tuong-lai-minh-vuong-m4u
vắng em	deris	vang-em-deris
một thời đã qua	bảo hân	mot-thoi-da-qua-bao-han
nếu như thế	đan trường	neu-nhu-the-dan-truong
hoài xuân	mtv	hoai-xuan-mtv
cùng một kiếp người	vũ hoàng	cung-mot-kiep-nguoi-vu-hoang
lk đêm tâm sự	vân my đăng nguyên	lk-dem-tam-su-dang-nguyen-van-my
cứ mãi tìm nhau	nam tuyên	cu-mai-tim-nhau-nam-tuyen
ích kỉ	bảo thy	ich-ki-bao-thy
nhờ ai đó yêu em	âu nam thái	nho-ai-do-yeu-em-au-nam-thai
tình buồn con cá lòng tong	lâm hoàng nghĩa	tinh-buon-con-ca-long-tong-lam-hoang-nghia
nonstop xóa hết	du thiên	nonstop-xoa-het-du-thien
phượt	bảo thắng nguyễn hữu thành thế phong	phuot-the-phong-bao-thang-nguyen-huu-thanh
tình mênh mang	bảo thy	tinh-menh-mang-bao-thy
được và mất	huỳnh đăng thuận	duoc-va-mat-huynh-dang-thuan
vân du yên tử	yên nhiên	van-du-yen-tu-yen-nhien
anh là hạnh phúc của em	trương như anh	anh-la-hanh-phuc-cua-em-truong-nhu-anh
cho người tình lỡ	đình bảo	cho-nguoi-tinh-lo-dinh-bao
bến tình yêu	khổng tú quỳnh ngô kiến huy	ben-tinh-yeu-khong-tu-quynh-ngo-kien-huy
dẫn lối em về	lưu minh tuấn	dan-loi-em-ve-minh-tuan
khép lại quá khứ	trương như anh	khep-lai-qua-khu-truong-nhu-anh
giấc mơ ngày hôm qua	khánh hưng	giac-mo-ngay-hom-qua-khanh-hung
nếu em còn nhớ	hamlet trương	neu-em-con-nho-hamlet-truong
con muỗi hư	lê uyên nhi	con-muoi-hu-le-uyen-nhi
mùa thu đông kinh	phương dung tuấn khương	mua-thu-dong-kinh-tuan-khuong-phuong-dung
đón xuân về đây	hoàng thái nghĩa	don-xuan-ve-day-hoang-thai-nghia
chiều biên khu	thanh tuyền	chieu-bien-khu-thanh-tuyen
vì sao em vội nói lời chia tay	trịnh gia phúc	vi-sao-em-voi-noi-loi-chia-tay-trinh-gia-phuc
papa người cha yêu dấu	bé quang dũng	papa-nguoi-cha-yeu-dau-be-quang-dung
liên khúc mưa	chế thanh	lien-khuc-mua-che-thanh
nếu là của nhau trước sau cũng về	nguyễn hữu thành	neu-la-cua-nhau-truoc-sau-cung-ve-nguyen-huu-thanh
những năm tháng không quên	nhóm f5 phạm thanh thảo	nhung-nam-thang-khong-quen-pham-thanh-thao-nhom-f5
trống loạn thăng long thành	minh cảnh	trong-loan-thang-long-thanh-minh-canh
đơn giản	baby j trúc diễm	don-gian-baby-j-truc-diem
thương cha	ái như	thuong-cha-ai-nhu
nguội lạnh	phương chi bảo	nguoi-lanh-phuong-chi-bao
ghép	thu thủy	ghep-thu-thuy
ba đứa bạn nghèo	đào phi dương	ba-dua-ban-ngheo-dao-phi-duong
nhé anh	mỹ tâm	nhe-anh-my-tam
anh đã quên làm sao để ngưng	hoàng thuyên	anh-da-quen-lam-sao-de-ngung-hoang-thuyen
vẫn chưa chịu cưới	hồng vân nsưt thành lộc	van-chua-chiu-cuoi-hong-van-nsut-thanh-loc
tiếng gà trưa	phương thảo	tieng-ga-trua-phuong-thao
nói rằng em yêu anh đi	mạnh quân	noi-rang-em-yeu-anh-di-manh-quan
nắng đẹp miền nam, khúc ca ngày mùa	hà phương hương thủy	nang-dep-mien-nam-khuc-ca-ngay-mua-huong-thuy-ha-phuong
những tháng năm bị đánh cắp (stolen years)	kendy	nhung-thang-nam-bi-danh-cap-stolen-years-kendy
anh vẫn phải đi	ông cao thắng	anh-van-phai-di-ong-cao-thang
xin em đừng khóc nữa	hoàng thiên sơn	xin-em-dung-khoc-nua-hoang-thien-son
sẽ có thiên thần thay thế anh yêu em	dothipe mãn anh	se-co-thien-than-thay-the-anh-yeu-em-man-anh-dothipe
la bàn tình yêu	jkanz two-b	la-ban-tinh-yeu-jkanz-two-b
giây phút bình yên	minh béo	giay-phut-binh-yen-minh-beo
anh sợ yêu	hoài nam bozo	anh-so-yeu-hoai-nam-bozo
mưa đêm sài gòn nhớ em	phú tiến phú	mua-dem-sai-gon-nho-em-phu-tien-phu
sớm nay mùa xuân	bé kim anh bé nhật minh bé thùy anh	som-nay-mua-xuan-be-thuy-anh-be-nhat-minh-be-kim-anh
thì thầm mùa xuân (dj trung demo)	anh trường	thi-tham-mua-xuan-dj-trung-demo-anh-truong
vui tết truyền thống – sống tết hiện đại	monstar	vui-tet-truyen-thong-song-tet-hien-dai-monstar
tình trái ngang	hoàng kim	tinh-trai-ngang-hoang-kim
đoàn người lữ thứ	hương lan phương hồng quế quang bình	doan-nguoi-lu-thu-huong-lan-phuong-hong-que-quang-binh-trang-thanh-lan
còn một người phía trước	bảo hưng miền tây	con-mot-nguoi-phia-truoc-bao-hung
ly trà xuân	minh sang	ly-tra-xuan-minh-sang
cầu vồng trong mưa	minh thuận nhật hào	cau-vong-trong-mua-minh-thuan-nhat-hao
bao giờ ta lại yêu	tóc tiên	bao-gio-ta-lai-yeu-toc-tien
hạnh phúc mong manh	a điêm	hanh-phuc-mong-manh-a-diem
thời gian đã hết	bảo dũng	thoi-gian-da-het-bao-dung
trò đùa xót xa	amigo g	tro-dua-xot-xa-amigo-g
tình yêu vỡ tan	dương thái bảo	tinh-yeu-vo-tan-duong-thai-bao
yêu anh là lỗi của em	phan thiên ngân	yeu-anh-la-loi-cua-em-phan-thien-ngan
anh đã tìm thấy em	long tứ	anh-da-tim-thay-em-long-tu
kho báu	ngọt	kho-bau-ngot
lk đêm cuối tình yêu - ngõ xưa chiều mưa buồn	khang lê lý diệu linh	lk-dem-cuoi-tinh-yeu-ngo-xua-chieu-mua-buon-khang-le-ly-dieu-linh
cám ơn tình em	việt quang	cam-on-tinh-em-viet-quang
hãy về đây bên anh	fony trung	hay-ve-day-ben-anh-fony-trung
chào năm mới sang	nathan lee	chao-nam-moi-sang-nathan-lee
mưa sầu	miên thảo	mua-sau-mien-thao
vẫn bài hát ấy	lưu minh tuấn trịnh thăng bình	van-bai-hat-ay-trinh-thang-binh-luu-minh-tuan
em rồi cũng khác	khánh tân	em-roi-cung-khac-khanh-tan
gọi phone cho bé	hiền thục tuấn thăng	goi-phone-cho-be-hien-thuc-tuan-thang
mình ơi	bảo  phúc	minh-oi-bao-phuc
mọi sự là vì em (team pb nation - phúc bồ - dj lê trình)	bảo kun pb nation	moi-su-la-vi-em-team-pb-nation-phuc-bo-dj-le-trinh-pb-nation-bao-kun
siêu khóc	thành đại siêu	sieu-khoc-thanh-dai-sieu
mãi yêu em thôi	tây giang tùng	mai-yeu-em-thoi-tay-giang-tung
khi anh cần em	lee thiên bảo	khi-anh-can-em-lee-thien-bao
sợ em khóc	khởi phong	so-em-khoc-khoi-phong
cây đu đủ	âu thiên dũ	cay-du-du-au-thien-dzu
mơ một giấc mơ	dương 565	mo-mot-giac-mo-duong-565
oh! oh! ngày ấy	3 con mèo	oh-oh-ngay-ay-3-con-meo
em đừng diễn nữa	phạm thành nguyên	em-dung-dien-nua-pham-thanh-nguyen
nếu anh đừng hẹn	lê sơn tuấn khương	neu-anh-dung-hen-tuan-khuong-le-son
liên khúc tâm sự với anh	lưu ánh loan đoàn minh	lien-khuc-tam-su-voi-anh-luu-anh-loan-doan-minh
trọn trao (no regrets)	thanh bùi	tron-trao-no-regrets-thanh-bui
nhật ký lớp tôi	lynk lee	nhat-ky-lop-toi-lynk-lee
anh không giống ai	jinn tobby quốc trung	anh-khong-giong-ai-tobby-quoc-trung-jinn
em cô đơn nhớ anh	minh tuyết	em-co-don-nho-anh-minh-tuyet
xuân xa mẹ	ái như	xuan-xa-me-ai-nhu
em mất anh rồi	song thư	em-mat-anh-roi-song-thu
trôi qua ngày tháng	miên thảo	troi-qua-ngay-thang-mien-thao
sẽ không là mơ	đăng khôi	se-khong-la-mo-dang-khoi
nắng hồng ngày xưa	xuân phú	nang-hong-ngay-xua-xuan-phu
yêu anh thôi nhé	2d boy lee yang lt	yeu-anh-thoi-nhe-lt-2d-boy-lee-yang
kí ức còn đâu	htk	ki-uc-con-dau-htk
chuyện anh và em	cao nam thành	chuyen-anh-va-em-cao-nam-thanh
anh còn chờ	vũ khanh	anh-con-cho-vu-khanh
em không phải người có lỗi	quang hà	em-khong-phai-nguoi-co-loi-quang-ha
nỗi đau chôn giấu	minh châu	noi-dau-chon-giau-minh-chau
từ hôm nay (tad sound mix)	tad sound	tu-hom-nay-tad-sound-mix-tad-sound
muộn	đại nhân	muon-dai-nhan
thầm thương	song sinh nghi	tham-thuong-song-sinh-nghi
dành riêng cho em	alx kim hoàng	danh-rieng-cho-em-alx-kim-hoang
biển mộng	quốc thiên	bien-mong-quoc-thien
vì một người ra đi	hoàng minh thắng	vi-mot-nguoi-ra-di-hoang-minh-thang
mẹ là dòng sông	thanh thanh	me-la-dong-song-thanh-thanh
hồi ức một chuyện tình	từ khánh phong	hoi-uc-mot-chuyen-tinh-tu-khanh-phong
lk thì thầm mùa xuân	trịnh tuấn vỹ	lk-thi-tham-mua-xuan-trinh-tuan-vy
phượng tím	nguyễn minh anh	phuong-tim-nguyen-minh-anh
bốn năm lần	hoàng tú minh	bon-nam-lan-hoang-tu-minh
gia vị cuộc sống	lưu quang anh	gia-vi-cuoc-song-luu-quang-anh
không còn tình tôi	hoàng thiên long	khong-con-tinh-toi-hoang-thien-long
ông già noel / santa claus is coming to town	justin nguyễn	ong-gia-noel-santa-claus-is-coming-to-town-justin-nguyen
balo & đi thôi	bin nguyễn quân	balo-di-thoi-nguyen-quan-bin
học trò ơi!	dương huệ	hoc-tro-oi-duong-hue
giây phút anh sai	jay wang	giay-phut-anh-sai-jay-wang
bước xuống phố	aitai	buoc-xuong-pho-ai-tai
giọt nước tràn ly	đăng khôi	giot-nuoc-tran-ly-dang-khoi
lãnh trọn đêm mưa	lâm ngọc huỳnh	lanh-tron-dem-mua-lam-ngoc-huynh
ngọn gió vô tình	băng tình đào chilê	ngon-gio-vo-tinh-dao-chile-bang-tinh
tôi không biết yêu	đại hải	toi-khong-biet-yeu-dai-hai
yêu đau lắm	trần ánh huy	yeu-dau-lam-tran-anh-huy
nhật hạ mái nhà chung	bé kim anh mr hero	nhat-ha-mai-nha-chung-mr-hero-be-kim-anh
vì sao em chia tay	hứa văn cường	vi-sao-em-chia-tay-hua-van-cuong
không bao giờ quên anh	chu hồng thúy tuấn vũ	khong-bao-gio-quen-anh-chu-hong-thuy-tuan-vu
liên khúc vọng kim lang	thanh ngân	lien-khuc-vong-kim-lang-thanh-ngan
đời cho ta thế	giang trang	doi-cho-ta-the-giang-trang
tât cả vì anh	thanh lan	tat-ca-vi-anh-thanh-lan
kẻ hôi bia và bác tài	yunjboo	ke-hoi-bia-va-bac-tai-yunjboo
giọt sương trên mí mắt	ngọc huệ	giot-suong-tren-mi-mat-ngoc-hue
những lời dối gian	chí dũng	nhung-loi-doi-gian-chi-dung
giọt xuân	hồ cẩm nghi	giot-xuan-ho-cam-nghi
lk lời cuối cho em - và con tim đã vui trở lại	phan đinh tùng	lk-loi-cuoi-cho-em-va-con-tim-da-vui-tro-lai-phan-dinh-tung
đứng dậy	nhiều nghệ sĩ	dung-day-vkopskiz-lcb-mceetee-skytear
nếu yêu thật lòng	mỹ dung	neu-yeu-that-long-my-dung
ngày mơ	hà linh madihu ngân hà	ngay-mo-madihu-ha-linh-ngan-ha
hậu duệ mặt trời	cao tùng anh	hau-due-mat-troi-cao-tung-anh
mất em mất cả thế giới	thái lan viên	mat-em-mat-ca-the-gioi-thai-lan-vien
duyên xuân	lâm ngọc huỳnh	duyen-xuan-lam-ngoc-huynh
ký ức sau màn mưa	gia ly	ky-uc-sau-man-mua-gia-ly
hương ngọc lan	dòng thời gian	huong-ngoc-lan-dong-thoi-gian
xin lỗi em yêu	khánh phương	xin-loi-em-yeu-khanh-phuong
nếu như em còn yêu	bằng cường dương trần	neu-nhu-em-con-yeu-duong-tran-bang-cuong
em muốn anh quên em	song thư	em-muon-anh-quen-em-song-thu
nhìn bụi phấn bay	tam hổ	nhin-bui-phan-bay-tam-ho
lk điều anh muốn nói	ngọc sơn	lk-dieu-anh-muon-noi-ngoc-son
vì đâu em hỡi	khánh duy	vi-dau-em-hoi-khanh-duy
ngày mới bắt đầu	bùi anh tuấn đạt tmt	ngay-moi-bat-dau-bui-anh-tuan-dat-tmt
đà nẵng tôi yêu	hợp xướng quang hào	da-nang-toi-yeu-quang-hao-hop-xuong
hạnh phúc xa bay	bằng cường	hanh-phuc-xa-bay-bang-cuong
con đường nào đến thiên đường	lâm nhật tiến	con-duong-nao-den-thien-duong-lam-nhat-tien
nhành mai thắm tặng em	phương thùy	nhanh-mai-tham-tang-em-phuong-thuy-nhom-phu-sa
liên khúc cha cha cha - hình bóng quê nhà	hồ quốc bửu thanh ngân	lien-khuc-cha-cha-cha-hinh-bong-que-nha-thanh-ngan-ho-quoc-buu
tuổi hồng thơ ngây	ty nguyễn	tuoi-hong-tho-ngay-tien-hung
người dưng biết đau	sky nguyễn	nguoi-dung-biet-dau-sky-nguyen
giận hờn chi em	du sỹ ka	gian-hon-chi-em-du-sy-ka
mùa xuân nhớ em	đông quân	mua-xuan-nho-em-dong-quan
đã không còn yêu	lưu gia bảo	da-khong-con-yeu-luu-gia-bao
yêu em bằng cả tâm hồn	lâm chí khanh	yeu-em-bang-ca-tam-hon-lam-chi-khanh
xuân về em vẫn ế	vĩnh thuyên kim	xuan-ve-em-van-e-vinh-thuyen-kim
dấu son hồng	nguyễn hậu	dau-son-hong-nguyen-hau
tạ ơn	bảo  phúc	ta-on-bao-phuc
ðêm cô ðơn	cẩm ly vân quang long	em-co-on-cam-ly-van-quang-long
điều buồn trên sông	hoài tân	dieu-buon-tren-song-hoai-tan
trái tim hóa đá	phương thanh	trai-tim-hoa-da-phuong-thanh
lá thư người em gái	cẩm như	la-thu-nguoi-em-gai-cam-nhu
tôi về đây nghe sóng	minh thu	toi-ve-day-nghe-song-minh-thu
bước hoang	trung kiên	buoc-hoang-trung-kien
ngày ta mất nhau	hồ quốc việt	ngay-ta-mat-nhau-ho-quoc-viet
năm mới xuân thái hòa	ngô viết trung	nam-moi-xuan-thai-hoa-viet-trung
trái tim nguc tù	trúc lai	trai-tim-nguc-tu-truc-lai
hạnh phúc hai người đàn ông	dương ngọc đàm	hanh-phuc-hai-nguoi-dan-ong-duong-ngoc-dam
hôm nay ngày mai	jgkid	hom-nay-ngay-mai-jgkid
chờ mãi phút giây này	tăng anh tuấn	cho-mai-phut-giay-nay-tang-anh-tuan
đông cuối	hà lê kay trần phúc bồ	dong-cuoi-ha-le-phuc-bo-kay-tran
bông hồng việt nam	mỹ huyền	bong-hong-viet-nam-my-huyen
mới hôm qua đó thôi	yến nhi	moi-hom-qua-do-thoi-yen-nhi
lạc nhau	kancc mastic stevie wei	lac-nhau-kancc-mastic-stevie-wei
lối mòn kỷ niệm	hoàng việt trang	loi-mon-ky-niem-hoang-viet-trang
valentine kỉ niệm	đông nghi	valentine-ki-niem-dong-nghi-9x
ta chưa quên được nhau	mai tiến dũng	ta-chua-quen-duoc-nhau-mai-tien-dung
dừng cuộc chơi	huyền thoại	dung-cuoc-choi-huyen-thoai
phố vẫn xưa	lưu bích như loan	pho-van-xua-nhu-loan-luu-bich
anh yêu em nhiều	quách thành danh	anh-yeu-em-nhieu-quach-thanh-danh
vì sao em là kẻ bạc tình	vân quang long	vi-sao-em-la-ke-bac-tinh-van-quang-long
con trai đâu phải như vậy đâu	sơn ca	con-trai-dau-phai-nhu-vay-dau-son-ca
như chưa từng quen	hồ bảo nhi	nhu-chua-tung-quen-ho-bao-nhi
ánh mắt ấm áp	bảo thy	anh-mat-am-ap-bao-thy
anh cũng lỡ yêu em rồi	cao nam thành	anh-cung-lo-yeu-em-roi-cao-nam-thanh
chia hai lối về	triệu gia nghĩa	chia-hai-loi-ve-trieu-gia-nghia
anh vẫn ở bên em	lê anh minh	anh-van-o-ben-em-le-anh-minh
trọn kiếp chân tình	minh sang	tron-kiep-chan-tinh-nguyen-minh-sang
anh cần có em	cao phong	anh-can-co-em-cao-phong
bởi vì tôi đã yêu em	vũ hà	boi-vi-toi-da-yeu-em-vu-ha
em yêu mùa hè quê em	bé kim hồng	em-yeu-mua-he-que-em-be-kim-hong
hỡi người, hỡi tình	kỳ phương uyên lương tùng quang	hoi-nguoi-hoi-tinh-ky-phuong-uyen-luong-tung-quang
biển hát ơn người	thu giang	bien-hat-on-nguoi-thu-giang
mẹ vẫn đợi con về	hương lan ngọc giàu	me-van-doi-con-ve-huong-lan-ngoc-giau
chiều vắng nhung nhớ	nguyễn cao kỳ duyên	chieu-vang-nhung-nho-nguyen-cao-ky-duyen
khói độc	hồ quang hiếu	khoi-doc-ho-quang-hieu
oh oh tình yêu	tiểu doanh	oh-oh-tinh-yeu-tieu-doanh
để anh được bình yên	hồ phong an	de-anh-duoc-binh-yen-ho-phong-an
em không buồn, nhưng sẽ khóc vì anh	hoàng châu	em-khong-buon-nhung-se-khoc-vi-anh-hoang-chau
cơm thừa canh cặn	long hồ	com-thua-canh-can-long-ho
cha mẹ con sai rồi	gia huy singer	cha-me-con-sai-roi-gia-huy
tình vội	hà thúy anh	tinh-voi-ha-thuy-anh
người không tốt	anh tâm	nguoi-khong-tot-anh-tam
bỏ quên lần nữa	bigdaddy soobin hoàng sơn vinc	bo-quen-lan-nua-soobin-hoang-son-bigdaddy-vinc
chỉ cần một tình yêu	hồng mơ	chi-can-mot-tinh-yeu-hong-mo
chung tình là khờ	uyên trang	chung-tinh-la-kho-uyen-trang
giữ mãi ký ức	dj oxy	giu-mai-ky-uc-dj-oxy
vì ai em ra đi	akira phan	vi-ai-em-ra-di-akira-phan
đâu chỉ mình em (#dcme)	emoi	dau-chi-minh-em-dcme-emoi
im lặng và ra đi	anh quân idol khánh phương	im-lang-va-ra-di-khanh-phuong-anh-quan-idol
bải ca tết cho em	bảo yến	bai-ca-tet-cho-em-bao-yen
tâm sự với anh	phạm thanh thảo	tam-su-voi-anh-pham-thanh-thao
trở về bến mơ	ánh tuyết	tro-ve-ben-mo-anh-tuyet
chậm (slowly)	suboi đông nhi	cham-slowly-dong-nhi-suboi
tiếng tơ lòng	đoan trang	tieng-to-long-doan-trang
thương mẹ tìm cha	tuấn khương	thuong-me-tim-cha-tuan-khuong
chôn vùi	hoàng hải thoại	chon-vui-hoang-hai-thoai
cho tôi xin một vé đi tuổi thơ	bé bảo an gia khiêm	cho-toi-xin-mot-ve-di-tuoi-tho-gia-khiem-be-bao-an
cô dâu đẹp nhất	hồ nhật huy	co-dau-dep-nhat-ho-nhat-huy
chuyện tình sông hương	quang đăng	chuyen-tinh-song-huong-quang-dang
đường tình lạc lối (ost nhân tình lạc lối)	sơn ca	duong-tinh-lac-loi-ost-nhan-tinh-lac-loi-son-ca
mùa hoa cưới	cao hoàng nghi ngọc kiều oanh	mua-hoa-cuoi-cao-hoang-nghi-ngoc-kieu-oanh
cô bé nhớ ai	châu tuấn	co-be-nho-ai-chau-tuan
căn phòng trống	mtv	can-phong-trong-mtv
mùa hè xanh lại về	thanh ngọc	mua-he-xanh-lai-ve-thanh-ngoc
lỡ lời	nguyên chấn phong vy thúy vân	lo-loi-nguyen-chan-phong-vy-thuy-van
anh muốn cưới em	hồ huy hải	anh-muon-cuoi-em-ho-huy-hai
viên kẹo mới	thu thủy	vien-keo-moi-thu-thuy
nghe tiếng muôn trùng	khánh ly	nghe-tieng-muon-trung-khanh-ly
chiều mưa kỷ niệm	khang lê	chieu-mua-ky-niem-khang-le
mất anh mất cả thế giới	trần khánh hồng	mat-anh-mat-ca-the-gioi-khanh-hong
yêu người chung vách	hoàng tú minh	yeu-nguoi-chung-vach-hoang-tu-minh
càng gỡ càng rối	tống gia vỹ	cang-go-cang-roi-tong-gia-vy
mặt nạ hóa đá	andyshin	mat-na-hoa-da-andyshin
chú mèo con	bé ngọc ngân	chu-meo-con-be-ngoc-ngan
ngàn lần yêu dấu	nguyễn hoàng nam	ngan-lan-yeu-dau-nguyen-hoang-nam
vợ  yêu	tống thành toàn	vo-yeu-tong-thanh-toan
trăng về thôn dã	bích phượng	trang-ve-thon-da-bich-phuong
khát khao trong đêm lạnh	lương bằng quang	khat-khao-trong-dem-lanh-luong-bang-quang
làm dâu xứ lạ	đào vũ thanh	lam-dau-xu-la-dao-vu-thanh
nỗi đau không của riêng ai	hoàng nghi lâm	noi-dau-khong-cua-rieng-ai-hoang-nghi-lam
sương lạnh chiều đông	huỳnh tân	suong-lanh-chieu-dong-huynh-tan
tình thương của cha	nhật kim anh	tinh-thuong-cua-cha-nhat-kim-anh
nếu chỉ sống một ngày	mtv	neu-chi-song-mot-ngay-mtv
con đường băng qua trái tim	jabb võ lý anh khoa nguyễn lưu thanh an	con-duong-bang-qua-trai-tim-ly-anh-khoa-jabb-vo-nguyen-luu-thanh-an
bên mùa lá rơi	nghi văn	ben-mua-la-roi-nghi-van
bao lâu nay	ngô kiến huy	bao-lau-nay-ngo-kien-huy
liên khúc cha cha: mấy nhịp cầu tre - ru con thuyền mộng - nối lại tình xưa - biết nói gì đây - hạ thương	nhiều nghệ sĩ	lien-khuc-cha-cha-may-nhip-cau-tre-ru-con-thuyen-mong-noi-lai-tinh-xua-biet-noi-gi-day-ha-thuong-phuong-quynh-gia-tuan-vu-duy-nha-phuong
em sẽ không hạnh phúc	andy dank lee	em-se-khong-hanh-phuc-dank-lee-andy
chờ người nơi ấy	chibee	cho-nguoi-noi-ay-chibee
những lời này cho em	lâm cường	nhung-loi-nay-cho-em-lam-cuong
em cần có anh	nhật thy	em-can-co-anh-nhat-thy
mơ về câu hát mẹ ru	bích tuyền	mo-ve-cau-hat-me-ru-bich-tuyen
gửi gió về trời	châu việt cường	gui-gio-ve-troi-chau-viet-cuong
đừng để hối tiếc	phan ngọc luân	dung-de-hoi-tiec-phan-ngoc-luan
cho nhau ngày sau	trio 666	cho-nhau-ngay-sau-trio-666
khói lửa biên thùy	tín nhiệm đào mai trang	khoi-lua-bien-thuy-tin-nhiem-dao-mai-trang
